선불식할부거래사업자정보																																					
																																					
회사정보													판매품목(현재 시판중인 주요 3개 품목)						재무현황												선수금현황						
상호	대표자성명	선불식할부거래업등록번호	선불식할부거래할부거래등록일	법인등록번호	사업자등록번호	법인 소재지	영업소 소재지	전화번호	전자우편주소	영업상태	영업개시일	등록취소 및 폐업일자	상품명1	가격 및 지급방법1	상품명2	가격 및 지급방법2	상품명3	가격 및 지급방법3	자산(원)			부채(원)			자본총계	자본금	지급여력비율(%)		부채비율(%)		총선수금(원)	보전비율(%)	선수금보전 계약				
[등록취소]삼성종합상조(주)	서 *  * 	울산-2012-제9호	20101007	2301110113975	610-81-79152	울산시 남구 월평로 159번길 20	울산시 남구 월평로 159번길 20	052-265-9444	phd****@empal.com	등록취소	20051019		제주여행 387만원	일시불, 4인 2박 3일 제주 마라도,우도 일주	V.I.P형 498만원	41,500원 × 120회,수의(남해표 대마,국산),관(적송),리무진300km무료	골드형 387만원	30,000원 × 129회,수의(대마100%,중국산),관(오동),리무진200km무료	8,220,502	137,288,754	145,509,256	25,622,566	1,120,810,000	1,146,432,566	-1,000,923,310	300,000,000	-517	100	788	100	130,191,000	50	우리은행	예치계약	65,095,500		
[등록취소](주)노블리아라이프	강 *  * 	서울-2013-제132호(등록취소됨 13.9.9)	20101231	1801110438184	605-81-58650	서울 용산구 청파로61길 5, 304호(청파동1가,제일빌딩)	서울 용산구 청파로61길 5, 304호(청파동1가,제일빌딩)	051-966-4000	ren*****@hanmail.net	등록취소			280	280만원(월2만원X140회) 관(오동나무), 수의-중국산원재료, 국내생산, 리무진 또는 장의버스 왕복 200km 지원	350	350만원(월2.5만원X140회) 관(오동나무), 수의-중국산원재료, 국내생산, 리무진 및 장의버스 왕복 200km 지원	420	420만원(월3만원X140회) 관(오동나무), 수의-중국산원재료, 국내생산, 리무진 및 장의버스 왕복 400km 지원	2,956,259,286	6,145,124,479	9,101,383,765	2,520,335,240	12,124,570,150	14,644,905,390	-5,543,521,625	300,000,000		100	161	100	11,114,398,000	0	한국상조공제조합	공제계약해지됨	0		
[폐업]효사랑복지재단(주)	채 *  * 	서울-2011-제79호(휴업중13.9.7~14.9.6)	20110314	1101113538430	108-81-76934	서울시 영등포구 여의대방로65길20, (여의도동, 호성신관501호)	서울시 영등포구 여의대방로65길20, (여의도동, 호성신관501호)	1600-4569	mh4****@naver.com	폐업	20061012	20131222			260만원	월40,000*60회,수의(저마,중국산),관(오동나무,중국산),왕복200km(리무진,버스 중 택일) 등	390만원	월30,000*130회,수의(대마,중국산),관(오동나무,중국산),리무진왕복300km,버스왕복300km 등	8,792,944	1,013,988	9,806,932	24,676,456	90,928,528	115,604,984	-105,798,052	300,000,000		100	1179	100	0	0			0		
㈜불국토	변 *  * 	서울-2011-제68호	20110113	1101112733990	119-81-63948	서울특별시 서초구 남부순환로 2265	서울특별시 서초구 남부순환로 2265	02-3270-3377	han****@btn.co.kr	정상영업	20070501		불국토450	450만원(3만원*150회), 수의(대마, 국내산), 관(오동나무, 국내산), 버스(왕복200km 이내 제공) 등	예섬396	396만원(3만원*132회), 수의(대마, 국내산), 관(오동나무, 국내산), 버스(왕복200km 이내 제공) 등	열반300	300만원(2만*150회), 관(오동나무, 국내산), 버스(왕복200km 이내 제공) 등	4,836,645,454	21,966,719,841	26,803,365,295	115,221,652	26,464,018,202	26,579,239,854	224,125,441	2,000,000,000	100	100	99	100	26,577,578,567	54	국민은행	예치계약	14,412,175,177	국민은행 방배남 지점	02-521-9143
크리스찬상조(주)	김 *  * 	서울-2010-제58호	20101130	1101113860049	120-87-25612	서울시 강남구 선릉로 115길 3 (논현동 268-2 1층)	서울시 강남구 선릉로 115길 3 (논현동 268-2 1층)	1644-4491	cg4***@naver.com	정상영업	20060701		프리미엄(450)상품	450만원(30,000원X150회) 인력서비스(장례지도사2명, 도우미4명), 수의(대마), 관(오동나무), 제단(생화1단, 꽃바구니2개, 헌화 50송이), 상복(직계가족 무제한), 엠블런스(관내무료), 장의차량(리무진, 장의버스 전국무료), 기타 입관 및 발인용품					4,185,148,521	24,461,102,151	28,646,250,672	61,955,873	34,698,458,350	34,760,414,223	-6,114,163,551	1,500,000,000	82	100	121	100	34,267,139,850	50	한국상조공제조합	공제계약	17,133,569,925	한국상조공제조합	1688-0972
[직권말소](주)진달래상조	채 *  * 	경기-2011-제17호	20110906	1101114424216	215-87-44616	경기도 부천시 송내대로73번길 46	경기도 부천시 송내대로73번길 46	1661-4441	jdr******@hanmail.net	폐업	20100831	20190125	실속형	280만원 (28,000원 x 100회) 수의(대마,국내산) 관(오동나무,국내산) 장의버스(왕복200km이내무료) 등	고급형	396만원 (33,000원 x 100회) 수의(대마,국내산) 관(오동나무,국내산) 장의버스+리무진(왕복300km이내무료) 등	명품형	690만원 (66,000원 x 100회) 수의(대마,국내산) 관(오동나무,국내산) 장의버스+리무진(전국무료) 등	239,140,000	0	239,140,000	91,912,000	0	91,912,000	147,228,000	300,000,000	219	100	38	100	121,092,000	46	우리은행	예치계약	56,095,250	우리은행(상동지점)	032-322-0016
[폐업](주)바름상조	강 *  * 	서울-2011-제99호	20110324	1101113959694	107-87-12526	서울특별시 서초구 강남대로 455	서울특별시 서초구 강남대로 455	02-784-1050	bar*****@nate.com	폐업	20080826	20171201	실버형	330만원(33,000원x100회) 수의(마100&#37;), 관(오동나무, 4.5cm), 현대식/전통식 남여상복, 향로 등, 장례지도사 2명, 가례복지사 3명(1일 8시간), 장의전용버스 또는 고급리무진 중 선택, 제단장식 1단 / 헌화30송이	고급형	396만원(39,600원x100회) 수의(왕실/황국수의), 관(오동나무 4.5cm), 현대식전통식 남여상복, 향로 등, 장례지도사 2명, 가례복지사 5명(1일 8시간), 선도차 또는 리무진 버스 (왕복20km), 제단장식 2단	플래티늄	480만원(48,000원x100회) 수의(바름황실,황궁수의),관(오동2단 고급관 약3.5cm), 현대식/전통식 남여상복, 향로 등, 장례지도사 2명, 가례복지사 6명(1일 8시간), 고급장의 리무진, 장의 전용버스(전지역 무료제공), 제단장식3단, 헌화50송이, 바구니1조(바구니2개), 고급 진공유골함	168,355,100	447,494,764	615,849,864	2,109,286,347	45,752,618	2,115,038,965	-1,499,189,101	300,000,000	27	100	343	100	2,108,431,810	50	상조보증공제조합	공제계약	1,054,215,905	상조보증공제조합	1600-1226
[폐업]부경상조(주)	정 *  * 	부산-2011-제29호	20110316	1801110520832	603-81-59385	부산시 중구 부평동4가  14-1	상 동	051-254-7244	ros******@nate.com	폐업	20051020	20180330	일반형	240만원(3만원*80회,2만원*120회) 오동관(1.5치 평관)저마수의(기계직)등	골드형	300만원(5만원*60회,3만원*100회)오동관)1.5치 2단특상)대마수의 (기계직)등 리무진(관내)	프리미엄	360만원(4만원*90회,3만원*120회)오동관)1.5치 2단특상)대마수의 (기계직)등 리무진(관내)	479,706,202	68,515,726	548,221,928	4,153,013	281,568,020	285,721,033	262,500,895	300,000,000	239	100	52	100	200,802,000	51	우리은행	예치계약	101,901,800		
[등록취소](유)나누리상조회사	정 *  *  *  *  *  * 	제2011-1호	20110311	2101140055860	418-81-19941	전북 전주시 덕진구 인후동1가  913-1	전북 전주시 덕진구 인후동1가  913-1	1688-2072	chl**********@hanmail.net	등록취소			프리미형	350(월5만원*70회),수의(대마,중국산),관(오동나무,중국산),장의버스,리무진(무제한)	골드형	266(월3만8천원*70회),수의(대마,중국산),관(오동나무,중국산),장의버스,리무진 택 1(무제한)	골드형	255(월3만원*85회),수의(대마,중국산),관(오동나무,중국산),장의버스,리무진 택1 (무제한)	327,003,650	6,000,000	333,003,650	23,201,600	0	23,201,600	309,802,050	310,000,000		100	7	100	45,490,000	30	우리은행	예치계약	13,647,500		
[폐업](주)무궁화상조이벤트	박 *  * 	대전-선불식할부거래법-12	20110315	1601110220741	314-81-88302	대전 서구 월평동	대전 서구 월평동	042-471-1110		폐업		20131115	일  반  형	280만원 (월 4만원 x 70회)	골  드  형	350만원 (월 5만원 x 70회)	프 리 미 엄	480만원 (월 6만원 x 80회)	182,046,122	59,523,532	241,569,654	766,050,939	21,781,785	787,832,724	-546,263,070	300,000,000		100	326	100	1,516,340,000	1	신한은행	예치계약	14,353,000		
[폐업](주)대흥기업	최 *  * 	대전-선불식 할부거래업-20	20110328	1601110069735	305-81-29745	대전 중구 대흥동  240-31	대전 중구 대흥동  240-31	042-255-1757		폐업		20130930	다시래기 표준	360만원(3만*120회)수의(아마,저마,인견), 관,상주용품,의전용품일체	다시래기 실버	420만원(3만*140회)수의(대마100%), 관,상주용품,의전용품일체	다시래기 골드	480만원(4만*120회)수의(대마100%), 관,상주용품,의전용품일체	295,375,764	286,885,066	582,260,830	178,478,642	0	178,478,642	403,782,188	300,000,000		100	31	100	156,270,000	4	우리은행	예치계약	6,037,000		
[폐업]김천장례식장및김천상조토탈(주)	신 *  * 	경북-2011-제9호	20110329	1713110021332	510-81-26016	경북 김천시 남면 초곡리 790	경북 김천시 남면 초곡리 790	054-435-4321	rip**@naver.com	폐업		20140402	화장	180만원(월3만원x60회) 수의(인견,중국산) 관(오동나무,중국산) 장의차(10만원 보조)등	매장1	240만원(월4만원x60회) 수의(대마,중국산) 관(오동나무,중국산) 장의차(15만원 보조)등	매장2	300만원(월5만원x60회) 수의(명주,중국산) 관(향나무,중국산) 리무진(15km무료제공)등	366,440,601	0	366,440,601	33,079,000	0	33,079,000	333,361,601	300,000,000		100	9	100	0	0	신한은행	예치계약	0		
[직권말소]미래상조119(주)[구.(주)아비스상조]	최 *  * 	전남-2017-제1호	20130418	1701110362236	502-81-98033	전라남도 해남군 해남읍 북부순환로 254	전라남도 해남군 해남읍 북부순환로 254	1661-8119	lov*******@daum.net	폐업	20081015	20190102	360상품	360만원(월3만원×120회) 수의(대마,국내제조) 관(오동나무,국내제조) 리무진,버스(200km제공)	540상품	540만원(월4.5만원×120회) 수의(대마,국내제조) 관(오동나무,국내제조) 리무진,버스(300km제공)	720상품	720만원(월6만원×120회) 수의(대마황실,국내제조) 관(오동나무,국내제조) 리무진,버스(400km제공)	338,649,233	148,923,196	487,572,429	348,188,530	158,153,400	506,341,930	-18,769,501	300,000,000		100	104	100	0	0	우리은행	예치계약	0	우리은행(노원동지점)	053-351-6283
[등록말소]대전상조㈜	손 *  * 	대전-2010-제1호	20100930	1601110163652	305-81-65644	대전광역시 서구 둔산서로 15	상 동	1577-4007	cha*****@naver.com	폐업	20031015	20160817	360만상품	360만원(3만원*120회) 수의(대마/명주, 국내산), 관(오동나무, 중국산), 리무진(관내제공, 추가시 1km 1,800원~2,200원 발생)	540만상품	540만원(4만5천*120회) 수의(대마or명주,국내산),관(오동나무,중국),리무진(전국무료제공)등			3,313,284,223	2,985,878,127	6,299,162,350	118,381,787	6,079,128,985	6,197,510,772	101,651,578	300,000,000	102	100	98	100	6,385,055,600	50	상조보증공제조합	공제계약	3,192,527,800		
[직권말소]오수산업(주)	박 *  * 	인천-2011-제1호 (직권말소됨2013.1.16)	20110712	1201110194150	000-00-00000	인천 남동구 고잔동 731-12 남동공단 160BL 13LT	인천 남동구 고잔동 731-12 남동공단 160BL 13LT	032-818-8384	h12***@hanmail.net	폐업		20130116							0	0	0	0	0	0	0	1,200,000,000		100		100	0	0	우리은행	예치계약	0		
[직권말소]아만상조(주)	김 *  * 	서울-2011-제104호	20110427	1101113651274	215-87-13113	서울 송파구 가락동	서울 송파구 가락동	1588-0590	158*****@hanmail.net	폐업	20070829	20180927	아만골드	30,000*130=3,900,000 장레용품일절제공 및 리무진 1구간, 버스(45인승)전국무제한					15,000,000	20,000,000	35,000,000	0	0	0	35,000,000	300,000,000	127	100	0	100	131,728,475	30	신한은행	예치계약	39,430,867	신한은행(오금동지점)	02-4027586
[폐업](주)효다함	김 *  * 	서울-2012-제116호	20110321	1942110098427	609-81-87730	서울 서초구 동작대로 68, 5층(방배동, 신진빌딩)		1644-4060		폐업		20140404							1,011,899,347	5,049,500	1,016,948,847	974,491,361	0	974,499,911	42,448,936	300,000,000		100	96	100	0	0	신한은행	예치계약	0		
[폐업]제일종합상조(주)	임 *  * 	경기-2011-03호	20110126	1101113904029	113-86-21998	경기 부천시 소사구 송내동 780-2 가원빌딩 5층	경기 부천시 소사구 송내동 780-2 가원빌딩 5층	1544-0072	mai*@cheilsangjo.com	폐업		20130220							0	0	0	0	0	0	0	1,000,000,000		100		100	0	0	신한은행	예치계약	0		
[직권말소]미래상조119(주)	서 *  * 	대구-2012-제31호	20110326	1714110011480	511-81-13907	대구광역시 수성구 신천동로 414	상 동	070-4040-5895	imj****@hanmail.net	폐업	20060303	20190319							7,574,008	20,000,000	27,574,008	214,725,187	0	214,725,187	-187,151,179	300,000,000	125	100	779	100	0	0	신한은행	예치계약	0		
[등록취소]패밀리라이프(주)	김 *  * 	서울-2012-제114호	20110207	1358110163534	124-86-77003	서울 강북구 덕릉로 115번지, 4층(번동,승진빌딩)	서울 강북구 덕릉로 115, 4층(번동,승진빌딩)	1577-0038	fam********@naver.com	등록취소	20090220			현재상조상품 판매하지 않음					106,630,754	55,752,770	162,383,524	863,080,172	0	863,050,172	-700,666,648	500,000,000	100	100	531	100	540,707,600	0	우리은행	예치계약	0		
[등록취소](주)대동상조이벤트	김 *  * 	경기-2011-09호	20130419	1313110098355	125-81-88527	경기 용인시 처인구 금령로 75 (김량장동, 4층)	상 동	031-322-2523	brj********@hanmail.net	등록취소	20100515		360상품	인적서비스, 차량서비스, 관수의 포함한 장의용품	396만원	인적서비스, 차량서비스, 관수의 포함한 장의용품	594만원	인적서비스, 차량서비스, 관수의 포함한 장의용품	291,578,493	31,133,856	322,712,349	430,282,432	50,000,000	480,282,432	-157,570,083	300,000,000	44	100	149	100	283,190,000	25	신한은행	예치계약	70,744,626	신한은행(용인, 안중, 광주지점)	031-336-2031
(주)금호라이프[구.(주)금호상조]	기 *  *  *  *  *  *  * 	광주-2010-제4호	20101130	2001110218242	409-81-88629	광주광역시 북구 제봉로 301	광주광역시 북구 제봉로 301	1566-4428	hin******@naver.com	정상영업	20051214		일반형	320만원 (20,000*160회) 수의(저마, 제조-한국, 원사-중국산), 관(오동나무, 중국산), 리무진, 장의버스 중 택일 (왕복200km이내 무료제공) 등	고급형	390만원 (25,000*156회) 수의(대마, 제조-한국, 원사-중국산), 관(오동나무, 중국산), 장의버스, 리무진(왕복200km이내 무료제공)등	VIP형	480만원 (30,000*160회) 수의(대마, 제조-한국, 원사-중국산), 관(오동나무, 중국산), 장의버스(왕복400km이내 무료제공), 크루즈 등	5,229,691,303	33,570,651,707	38,800,343,010	596,245,044	38,253,775,100	38,850,020,144	-49,677,134	1,500,000,000	99	100	100	100	38,699,394,661	50	상조보증공제조합	공제계약	19,349,697,331	상조보증공제조합	1600-1226
[직권말소]클로버상조(주)	최 *  * 	서울-2015-제149호	20150324	1414110008590	225-81-22029	서울특별시 강남구 도산대로 312	상 동	1577-4478	adm**@cloverlife.co.kr	폐업	20110513	20190308	유비무환	600만원(50,000원*120회), 궁중수의, 솔송나무규격관, 꽃장식, 버스, 리무진, 의전매니저, 상가도우미8명, 기타용품	유비무환life	490만원(35,000원*140회), 궁중수의, 오동나무규격관, 꽃장식, 버스, 리무진, 의전매니저, 상가도우미5명, 기타용품	더블유	396만원(35,000*120회), 크루즈(아시아), 크루지(지중해), 웨딩 중 택일	382,643,488	93,510,476	476,153,964	1,115,319,618	0	1,115,319,618	-639,165,654	300,000,000	382	100	234	100	144,794,000	51	신한은행	예치계약	74,547,399		
[직권말소]㈜예스라이프[구,㈜예드림,대한장례인연합회상조]	김 *  * 	서울-2015-제152호	20101008	1942110094524	609-81-84830	서울특별시 마포구 월드컵북로 30	서울특별시 마포구 월드컵북로 30	1544-9035	kjs******@naver.com	폐업	20080922	20190308	장례426	426만원(3만원*142회) 관(오동), 수의(대마,중국산), 버스/리무진(300km 무료), 전문 의전지도사(1인3일), 의전도우미(7명, 1인 10시간 기준)	웨딩426	426만원(3만원*142회) 예복(리허설, 본식), 스튜디오, 메이크업(신랑,신부, 양가 어머님2분), 부캐 헬퍼비(리허설, 본식) 등			12,464,881	207,567,281	220,032,162	219,880,904	726,495,711	946,376,615	-726,344,453	350,000,000	-70	100	430	100	535,937,000	39	우리은행	예치계약	209,984,500		
[직권말소](주)하나로라이프[(주)하나로라이프(서울-2019-제165호)로 흡수합병]	정 *  * 	서울-2018-161호	20120323	1211110217620	130-86-60074	서울특별시 영등포구 경인로71길 70	서울특별시 영등포구 경인로71길 70	1899-4171	jdy****@nate.com	폐업	20110513	20190411	프리미엄360	360만원(월3만*120), 수의(대마100%/국내산),관(오동나무관/화장규격관), 리무진/버스 200km 등	골드480	480만원(월4만*120), 수의(대마100%/국내산),관(오동나무관/화장규격관), 리무진/버스 400km 등	VIP 780	780만원(월6.5만*120), 수의(대마100%/국내산),관(오동나무관/화장규격관), 리무진/버스 전국무료 등	7,032,141	155,552,764	162,584,905	204,453,477	272,962,580	477,416,057	-314,831,152	300,000,000	-16	100	294	100	244,165,000	50	KEB하나은행	예치계약	122,082,500	KEB하나은행(부천중앙지점)	032-653-1111
[폐업](주)강릉장례식장	김 *  * 	강원-06호	20110330	1411110018917	226-81-27838	강원도 강릉시 안현동 795번지	상 동	033-644-4440	sud*******@naver.com	폐업	20050101	20140413							0	0	0	0	0	0	0	500,000,000		100		100	50,542,000	43	신한은행	예치계약	21,802,056	신한은행(속초지점)	1577-8000
[폐업]드림라이프(주)[구.전국상조통합서비스(주)]	전 *  * 	서울-2011-제108호	20101125	1601110242696	305-81-93077	서울특별시 중구 무교로 15	서울특별시 중구 무교로 15	1600-4053	dre******@dlif.co.kr	폐업	20080528	20200304	240	240만원(2만원*120회) 수의(대마,중국산), 관(오동나무), 리무진(200km이내 무료제공) 등	360	360만원(3만원*120회) 수의(대마,중국산), 관(오동나무), 리무진(300km이내 무료제공) 등			2,421,104	323,936,618	326,357,722	17,438,220	676,592,866	694,031,086	-367,673,364	1,820,000,000	44	100	213	100	1,400,856,600	43	우리은행/신한은행/한국상조공제조합	예치계약/예치계약/공제계약	293793618/133862205/179704200		
㈜다온플랜	김 *  * 	경기-2011-제15호	20110527	1311110278597	129-86-58694	경기도 성남시 분당구 불정로 90	경기도 성남시 분당구 불정로 90	1577-1555	ktt***@kt.com	정상영업	20110401		다온1-13호	300만원(30,000*100회) 장례지도사 1명, 장례복지사 5명(8시간), 관(오동나무), 수의, 리무진(왕복 200km), 버스(왕복300km) 등	다온2호	360만원(30,000*120회) 장례지도사 1명, 장례복지사 7명(8시간), 관(오동나무), 자수수의, 리무진(전국무료), 버스(전국무료) 등	다온3호	480만원(30,000*160회) 장례지도사 1명, 장례복지사 10명(8시간), 관(오동나무), rmawkd수의, 리무진(전국무료), 버스(전국무료) 등	39,476,751,525	32,629,241,942	72,105,993,467	64,505,730,918	49,024,650	64,554,755,568	7,551,237,899	1,500,000,000	111	100	90	100	64,753,125,000	50	국민은행	예치계약	32,376,562,500	국민은행 분당백궁지점	031-530-8599
[폐업](주)경남상조	김 *  *  *  *  *  *  * 	경남 2011-제01호	20101008	1942110095275	609-81-85464	창원시 의창구 북면 천주로 1150번길 15-11 금산상가 3층 302호	상 동	055-298-4414	ppo******@hanmail.net	폐업	20081105	20160126	도지사	360만원(3만원x120회) 관(오동,중국산), 수의(저마100%,중국산), 도우미 시간당 8,000	장관	480만원(4만원x120회)  관(오동,중국산), 수의(대마100%,중국산), 장의버스 일부제공, 초과시 상가부담	국무총리	600만원(5만원x120회)  관(소나무,중국산), 수의(남해포형,중국산), 기타 입관용품 일체제공	563,277,982	230,732,500	794,010,482	492,872,020	0	492,872,020	301,138,462	300,000,000	161	100	62	100	473,070,000	50	우리은행	예치계약	236,535,000		
(주)효원상조	이 *  * 	서울-2010-제28호	20101012	1342110067226	126-81-81624	서울특별시 강동구 풍성로38길 9	서울특별시 강동구 풍성로38길 9	02-475-7444	hyo*******@naver.com	정상영업	20040923		해피효원560[기업단체]	490만원(17500원 x 280회), 수의(저마, 중국산), 관(오동나무, 중국산), 리무진(200km이내 무료제공), 장의버스(전국무료제공) 등					21,780,329,067	93,029,014,352	114,809,343,419	828,116,737	128,397,621,625	129,225,738,362	-14,416,394,943	1,500,000,000	88	100	113	100	128,182,838,110	50	상조보증공제조합	공제계약	64,091,419,055	상조보증공제조합	1600-1226
제주일출상조㈜	정 *  * 	제주-2010-제1호	20110601	2201110076860	616-81-79067	제주특별자치도 제주시 남광로 65	제주특별자치도 제주시 남광로 65	1588-9334	ill*********@naver.com	정상영업	20110601		고급형	420만원(3만원*140회/6만원*135회) 수의(대마,중국산) 관(오동나무,중국산), 장의버스(제주전지역), 리무진 등	골드형	520만원(4만원*130회/8만원*125회) 수의(명주,중국산) 관(솔송,중국산), 장의버스(제주전지역), 리무진 등			1,705,299,910	297,423,613	2,002,723,523	626,861,287	69,151,472	696,012,759	1,306,710,764	1,500,000,000	390	100	35	100	439,791,000	63	신한은행	예치계약	275,911,884	신한은행 제주지점	064-721-7924
[등록취소]㈜신성라이프[구. 신성토탈장의대행]	황 *  * 	서울-2011-제76호	20110217	1101113365122	204-81-95049	서울특별시 성북구 삼선교로24길 55	서울특별시 성북구 삼선교로24길 55	1588-3932	sht*****@naver.com	등록취소	20051222		378	378만원(계약금 8만원+월5만원*74회) 수의(대마/레이온), 리무진/버스 전국무료, 상복5벌	408	408만원(계약금8만원+월5만원*80회) 수의(대마/레이온), 리무진/버스 전국무료, 상복10벌			193,606,028	3,478,653,080	3,672,259,108	24,526,261	9,416,416,634	9,440,942,895	-5,768,683,787	300,000,000	38	100	257	100	9,105,990,000	35	신한은행	예치계약	3,232,108,087	신한은행(장한평지점,보문역지점)	1544-8000
[등록취소]㈜하나두레	김 *  * 	서울-2011-제71호	20110125	2811110085040	128-81-97030	서울 영등포구 여의나루로71 (동화빌딩 1103호)	상 동	1588-1386	s12***@naver.com	등록취소	20080517		골드형	360만원(3만원x120회),관(오동나무,중국산),수의(수직대마,중국산),장의버스,리무진 왕복 200km	푸르미1호(후불제)	360만원(1만원x20회),관(오동나무,중국산),수의(수직대마,중국산),장의버스,리무진 왕복 200km			302,180,777	12,596,612	314,777,389	29,877,054	152,379,060	182,256,114	132,521,275	300,000,000	112	100	58	100	1,053,450,000	21	우리은행	예치계약	216,858,000		
[폐업]국방몰라이프(주)[구.(주)해피상조, ㈜해피효경상조, 해피애플라이프(주)]	이 *  * 	부산-2010-제01호	20101005	1801110556217	605-81-77531	부산광역시 연제구 중앙대로 1078	부산광역시 연제구 중앙대로 1078	1599-5766	hap********@hanmail.net	폐업	20060517	20230429	프리미엄	240만원(2만원×120회)  수의(대마,국내산), 관(오동나무), 꽃제단 꽃바구니 2개 지원, 도우미 3명(20시간), 장의버스 또는 리무진 택일 등	프리미엄 실버	360만원(3만원×120회)  수의(대마,국내산), 관(오동나무), 꽃제단 20만원 지원, 도우미 5명(40시간), 장의버스, 리무진(왕복 200km이내 무료제공) 등	프리미엄 골드	480만원(4만원×120회)  수의(대마,국내산), 관(오동나무), 꽃제단 50만원 지원, 도우미 7명(60시간), 장의버스, 리무진(왕복 400km이내 무료제공) 등	589,515,001	1,992,616,749	2,582,131,750	31,122,346	2,608,187,621	2,639,309,967	-57,178,217	1,800,000,000	98	100	102	100	2,404,016,000	50	상조보증공제조합	공제계약	1,202,008,000	상조보증공제조합	1600-1226
[등록취소]파인라이프(주)[구,소나무좋은상조㈜]	전 *  * 	서울-2010-제21호	20101007	1358110150408	135-81-96529	서울특별시 강남구 선릉로107길 7	서울특별시 강남구 선릉로107길 7	1670-2088	dia****@hanmail.net	등록취소	20080401		파인390	390만(26,000*150회) 수의(대마,중국산) 관(오동나무,중국산) 리무진(왕복200km제공)	파인489	489만(32,600*150회)  수의(대마,중국산) 관(오동나무,중국산) 리무진(왕복400km제공)	파인690	690만(46,000*150회)  수의(대마,중국산) 관(오동나무,중국산) 리무진(전국 무료제공)	92,423,448	526,525,992	618,949,440	76,010,449	1,490,664,695	1,566,675,144	-947,725,704	500,000,000	37	100	253	100	1,537,158,900	50	한국상조공제조합	공제계약	768,579,450	한국상조공제조합	1688-0972
[직권말소]좋은라이프(주)[구.좋은상조(주)][(주)프리드라이프로 흡수합병]	김 *  * 	서울-2017-제158호	20131231	1101113186586	107-86-61020	서울특별시 중구 세종대로 73	서울특별시 중구 세종대로 73	1588-9776	cor*@jounlife.com	폐업	20050314	20210203	프라미스 3호	297만원(15,000*198회) 수의(면,중국산), 관(오동나무,중국산), 리무진 버스(택1, 왕복 200km제공)등	프라미스 4호	398만원(20,000*199회) 수의(대마,중국산), 관(오동나무,중국산), 리무진 버스(왕복 200km제공)등	프리미엄 540	540만원(36,000*150회) 수의(대마,중국산), 관(오동나무,중국산), 리무진 버스(전국무료)등	13,112,971,683	154,176,829,599	167,289,801,282	7,089,203,254	140,421,584,848	147,510,788,102	19,779,013,180	6,036,230,000	114	100	88	100	160,470,225,150	50	KEB하나은행	지급보증	80,900,000,000	하나은행(영업1부 지점)	02-2002-1111
현대에스라이프(주)[구. 현대상조(주)]	이 *  * 	대구-2010-제9호	20101110	1701110219536	504-81-45435	대구광역시 동구 안심로 52	대구광역시 동구 안심로 52	1566-1678	san***@hyundaislife.com	정상영업	20020408		390만원	390만원(30,000원*130회, 19,500원*200회) 수의(명품수의), 관(오동 4.5cm 2단), 리무진, 장의버스(왕복 200km), 도우미 5명, 제단꽃장식(영정고급/생화날개 1조 또는 25만원 지원)	450만원	450만원(30,000원*150회) 수의(명품대마), 관(오동 4.5cm 2단), 리무진, 장의버스(왕복 400km), 도우미 5명, 제단꽃장식(현대2호 또는 30만원 지원)	480만원	480만원(30,000원*160회) 수의(명품대마 특상), 관(오동 4.5cm 2단), 리무진, 장의버스(왕복 400km), 도우미 6명, 제단꽃장식(현대3호 또는 40만원 지원)	13,306,450,509	123,531,883,924	136,838,334,433	17,996,349,854	68,230,535,962	86,226,885,816	50,611,448,617	1,500,000,000	188	100	63	100	60,861,844,662	50	한국상조공제조합	공제계약	30,430,922,331	한국상조공제조합	1688-0972
[폐업]이편한라이프(주)[구, 두바이오픈(주),포항종합상조(주)]	이 *  * 	부산-2016-제44호	20160112	1717110077973	506-81-64476	부산광역시 연제구 월드컵대로165번길 5	부산광역시 연제구 월드컵대로165번길 5	1588-3128	dub******@naver.com	폐업	20160107	20201006	390만원상품	30,000*130 관(오동나무,6cm매장,3cm화장) 수의(삼베-품(저마),명주), 버스,리무진	480만원상품	40,000*120 관(적송6cm,오동3cm) 수의(삼베-품(대마),명주-특맞춤), 버스,리무진	375만원상품	25,000*150 관(향4.5cm,오동3cm) 수의(삼베-대마,명주-홀치기), 버스,리무진	96,545,098	2,456,621,092	2,553,166,190	257,745,657	4,591,548,330	4,849,293,987	-2,296,127,797	1,500,475,000	-489	100	190	100	401,790,000	38	우리은행	예치계약	151,748,500		
[폐업](주)예인라이프[구,운암정상조(주)]	김 *  * 	강원-3호	20150821	1452110010545	223-81-10129	강원도 춘천시 동산면 종자리로 331-22	강원도 춘천시 동산면 종자리로 331-22	1577-8499	kjs****@hanmail.net	폐업	20080310	20171228	일반 300만원	수의, 관, 도우미 3명, 차량 택1, 양복 3벌, 유골함, 제단(기본)	고급 390만원	수의, 관, 도우미 5명, 차량 2대, 양복 5벌, 고급 유골함, 제단,	VIP 540만원	수의, 관, 도우미 7명, 차량 2대, 양복 10벌, 진공 유골함, 고급 제단	221,859,486	26,359,032	248,218,518	60,448,000	0	60,448,000	187,770,518	300,000,000	248	100	24	100	440,000	53	신한은행	예치계약	235,193		
